Frame,Time,Arena 1 ROI 1 Mean,Arena 1 ROI 1 Sum,Arena 1 ROI 2 Mean,Arena 1 ROI 2 Sum,Arena 1 ROI 3 Mean,Arena 1 ROI 3 Sum
1851,61.7,182.52039941190884,8938389,195.57645591228416,8936475,207.3775629531457,7980096
1852,61.733333333333334,182.4915461896594,8936976,195.6085614864421,8937942,207.4597333749123,7983258
1853,61.766666666666666,182.18157314383728,8921796,195.18088109776116,8918400,207.0990099009901,7969377
1854,61.8,182.39812545944622,8932401,195.48539163548028,8932314,207.4004053948702,7980975
1855,61.833333333333336,182.39224454790494,8932113,195.39386776968027,8928132,207.36236064551338,7979511
1856,61.86666666666667,182.34593236951727,8929845,195.44100846956863,8930286,207.37530209713884,7980009
1857,61.9,182.4813771134526,8936478,195.61112205370625,8938059,207.53379589927496,7986108
1858,61.93333333333333,182.7874295515805,8951466,195.85824962248046,8949351,207.75980353940906,7994805
1859,61.96666666666667,182.7111614800294,8947731,195.74171098417702,8944026,207.58813440399157,7988199
1860,62.0,182.67017887772604,8945724,196.00013131114176,8955834,207.81562329461292,7996953
1861,62.03333333333333,182.87411173731928,8955711,196.0068938349419,8956143,207.9525999844079,8002224
1862,62.06666666666667,182.4946091644205,8937126,195.66568183310355,8940552,207.432525142278,7982211
1863,62.1,181.76476353834843,8901384,194.9433392423347,8907546,206.78467295548452,7957281
1864,62.13333333333333,179.68812790982602,8799687,192.80355853194143,8809773,204.55726202541513,7871568
1865,62.166666666666664,179.27689291840235,8779548,192.3706913531613,8789994,204.11842207842832,7854681
1866,62.2,179.49687576574368,8790321,192.5321384019434,8797371,204.37592578155454,7864590
1867,62.233333333333334,181.02242097525115,8865030,194.19860810189743,8873517,205.98978716769315,7926693
1868,62.266666666666666,182.50385934819897,8937579,195.5943798831331,8937294,207.42106494113978,7981770
1869,62.3,182.5915216858613,8941872,195.6612829098549,8940351,207.54244952054262,7986441
1870,62.333333333333336,182.8192232296006,8953023,195.89245617490644,8950914,207.75808840726592,7994739
1871,62.36666666666667,182.7737074246508,8950794,195.83664893966252,8948364,207.7525532080767,7994526
1872,62.4,182.82583925508453,8953347,195.914253824437,8951910,207.7402354408669,7994052
